Date,Open,High,Low,Close,Volume,Turnover,Index_Name
2017-12-05,8510.6,8511.65,8408.2,8492.6,156482722.0,23047000000.0,NIFTY SMLCAP 100
2017-12-06,8489.2,8559.8,8442.05,8450.65,175146090.0,22315400000.0,NIFTY SMLCAP 100
2017-12-07,8480.15,8584.6,8478.65,8572.1,195380132.0,23398600000.0,NIFTY SMLCAP 100
2017-12-08,8595.9,8669.85,8595.7,8636.55,389216454.0,27271900000.0,NIFTY SMLCAP 100
2017-12-11,8692.2,8718.05,8661.35,8672.05,347179794.0,28121400000.0,NIFTY SMLCAP 100
2017-12-12,8685.0,8685.3,8585.6,8592.9,253571670.0,22799800000.0,NIFTY SMLCAP 100
2017-12-13,8600.2,8630.35,8461.6,8486.7,355807877.0,20578300000.0,NIFTY SMLCAP 100
2017-12-14,8527.5,8540.75,8388.55,8459.65,178688046.0,20777700000.0,NIFTY SMLCAP 100
2017-12-15,8548.3,8596.5,8537.65,8552.15,169313293.0,22429300000.0,NIFTY SMLCAP 100
2017-12-18,8520.75,8622.9,8280.1,8570.35,187110827.0,20839600000.0,NIFTY SMLCAP 100
2017-12-19,8622.85,8684.8,8620.55,8683.0,167197805.0,21093000000.0,NIFTY SMLCAP 100
2017-12-20,8707.95,8747.55,8685.5,8716.95,251136091.0,24499899999.999996,NIFTY SMLCAP 100
2017-12-21,8750.55,8856.45,8746.65,8849.05,496975083.0,32665800000.0,NIFTY SMLCAP 100
2017-12-22,8886.6,8955.75,8882.15,8928.3,318048634.0,28567500000.0,NIFTY SMLCAP 100
2017-12-26,8959.95,9016.35,8922.3,9004.5,287825496.0,34911600000.0,NIFTY SMLCAP 100
2017-12-27,9031.9,9060.25,8922.25,8970.05,326086350.0,36170900000.0,NIFTY SMLCAP 100
2017-12-28,8998.7,9050.5,8980.4,9014.0,468772072.0,32854300000.0,NIFTY SMLCAP 100
2017-12-29,9061.55,9115.3,9061.55,9093.25,756790032.0,39452700000.0,NIFTY SMLCAP 100
2018-01-01,9127.0,9260.7,9109.35,9178.4,695443716.0,34451000000.0,NIFTY SMLCAP 100
2018-01-02,9235.65,9257.2,9017.7,9108.9,659801510.0,38506500000.0,NIFTY SMLCAP 100
2018-01-03,9170.45,9240.05,9170.25,9226.45,412049856.0,35252600000.0,NIFTY SMLCAP 100
2018-01-04,9292.25,9315.35,9253.75,9310.0,434057288.0,35186000000.0,NIFTY SMLCAP 100
2018-01-05,9347.8,9420.2,9341.25,9398.7,508591629.0,38740700000.0,NIFTY SMLCAP 100
2018-01-08,9469.7,9549.85,9469.3,9535.1,379526931.0,44445400000.0,NIFTY SMLCAP 100
2018-01-09,9550.65,9567.85,9474.5,9529.4,361170992.0,38149000000.0,NIFTY SMLCAP 100
2018-01-10,9551.65,9581.7,9470.75,9529.65,482251402.0,50124500000.0,NIFTY SMLCAP 100
